Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,84.0,49793.0,1065.0,23000.0,82.0,49803.0,1114.0,23000.0,83.0,49805.0,1068.0,23000.0,82.0,49794.0,1160.0,22000.0,86.0,49794.0,1060.0,22000.0,86.0,49801.0,631.0,22000.0,,,,,,,,
0:0,84.0,49811.0,1118.0,23000.0,82.0,49808.0,1160.0,23000.0,83.0,49800.0,1114.0,23000.0,82.0,49793.0,1210.0,22000.0,86.0,49804.0,1112.0,22000.0,86.0,49787.0,676.0,22000.0,,,,,,,,
0:1,84.0,49810.0,1092.0,23000.0,82.0,49806.0,1162.0,23000.0,83.0,49824.0,1032.0,23000.0,82.0,49813.0,1189.0,22000.0,86.0,49790.0,1094.0,22000.0,86.0,49793.0,652.0,22000.0,,,,,,,,
0:1,84.0,49812.0,1023.0,23000.0,82.0,49790.0,1078.0,23000.0,83.0,49812.0,1097.0,23000.0,82.0,49825.0,1125.0,22000.0,86.0,49797.0,1028.0,22000.0,86.0,49773.0,599.0,22000.0,,,,,,,,
0:2,84.0,49805.0,980.0,23000.0,82.0,49801.0,1050.0,23000.0,83.0,49806.0,1125.0,23000.0,82.0,49814.0,1084.0,22000.0,86.0,49801.0,1017.0,22000.0,86.0,49802.0,586.0,22000.0,,,,,,,,
0:2,84.0,49794.0,1126.0,23000.0,82.0,49799.0,1161.0,23000.0,83.0,49818.0,1074.0,23000.0,82.0,49788.0,1218.0,22000.0,86.0,49805.0,1111.0,22000.0,86.0,49797.0,684.0,22000.0,,,,,,,,
0:3,84.0,49784.0,1097.0,23000.0,82.0,49814.0,1123.0,23000.0,83.0,49820.0,1088.0,23000.0,82.0,49804.0,1168.0,22000.0,86.0,49803.0,1079.0,22000.0,86.0,49788.0,638.0,22000.0,,,,,,,,
0:3,84.0,49790.0,1100.0,23000.0,82.0,49805.0,1132.0,23000.0,83.0,49814.0,1083.0,23000.0,82.0,49813.0,1188.0,22000.0,86.0,49805.0,1089.0,22000.0,86.0,49802.0,650.0,22000.0,,,,,,,,
0:4,84.0,49813.0,1090.0,23000.0,81.0,49787.0,1135.0,23000.0,83.0,49812.0,1065.0,23000.0,82.0,49820.0,1176.0,22000.0,86.0,49786.0,1087.0,22000.0,86.0,49782.0,643.0,22000.0,,,,,,,,
0:5,84.0,49807.0,1118.0,23000.0,81.0,49784.0,1157.0,23000.0,83.0,49812.0,1088.0,23000.0,82.0,49817.0,1211.0,22000.0,86.0,49784.0,1113.0,22000.0,86.0,49776.0,675.0,22000.0,,,,,,,,
