Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,59.0,49194.0,1395.0,23000.0,59.0,49193.0,1343.0,23000.0,51.0,49207.0,1404.0,22000.0,52.0,49192.0,1467.0,21000.0,50.0,49178.0,1044.0,21000.0,51.0,49181.0,1214.0,20000.0,,,,,,,,
0:0,59.0,49190.0,1384.0,23000.0,59.0,49206.0,1331.0,22000.0,51.0,49204.0,1396.0,22000.0,52.0,49199.0,1460.0,21000.0,50.0,49179.0,1034.0,21000.0,51.0,49179.0,1204.0,20000.0,,,,,,,,
0:1,59.0,49204.0,1346.0,23000.0,59.0,49190.0,1348.0,23000.0,51.0,49200.0,1402.0,22000.0,52.0,49189.0,1422.0,21000.0,50.0,49191.0,1010.0,21000.0,51.0,49197.0,1178.0,20000.0,,,,,,,,
0:1,59.0,49197.0,1040.0,23000.0,59.0,49211.0,1031.0,22000.0,51.0,49224.0,1124.0,22000.0,52.0,49219.0,1149.0,21000.0,50.0,49194.0,784.0,21000.0,51.0,49195.0,940.0,20000.0,,,,,,,,
0:2,59.0,49203.0,988.0,23000.0,59.0,49215.0,971.0,23000.0,51.0,49228.0,1062.0,22000.0,52.0,49223.0,1092.0,21000.0,50.0,49201.0,742.0,21000.0,51.0,49198.0,890.0,20000.0,,,,,,,,
0:2,59.0,49210.0,946.0,23000.0,59.0,49217.0,936.0,22000.0,51.0,49227.0,1028.0,22000.0,52.0,49218.0,1060.0,21000.0,50.0,49202.0,722.0,21000.0,51.0,49199.0,862.0,20000.0,,,,,,,,
0:3,59.0,49205.0,992.0,23000.0,59.0,49225.0,979.0,22000.0,51.0,49229.0,1053.0,22000.0,52.0,49218.0,1090.0,21000.0,50.0,49198.0,756.0,21000.0,51.0,49193.0,894.0,20000.0,,,,,,,,
0:3,59.0,49219.0,957.0,23000.0,59.0,49223.0,942.0,23000.0,51.0,49226.0,1028.0,22000.0,52.0,49214.0,1052.0,21000.0,50.0,49204.0,732.0,21000.0,50.0,49204.0,870.0,20000.0,,,,,,,,
0:4,59.0,49214.0,1024.0,23000.0,59.0,49223.0,998.0,22000.0,51.0,49222.0,1056.0,22000.0,52.0,49231.0,1108.0,21000.0,50.0,49197.0,775.0,21000.0,50.0,49202.0,916.0,20000.0,,,,,,,,
0:4,59.0,49208.0,997.0,23000.0,59.0,49227.0,970.0,23000.0,51.0,49239.0,1052.0,22000.0,52.0,49230.0,1076.0,21000.0,50.0,49223.0,762.0,21000.0,50.0,49211.0,884.0,20000.0,,,,,,,,
0:5,59.0,49222.0,1041.0,23000.0,59.0,49217.0,1014.0,22000.0,51.0,49218.0,1080.0,22000.0,52.0,49213.0,1112.0,21000.0,50.0,49204.0,785.0,21000.0,50.0,49202.0,932.0,20000.0,,,,,,,,
0:5,59.0,49214.0,1018.0,23000.0,59.0,49212.0,994.0,22000.0,51.0,49229.0,1054.0,22000.0,52.0,49234.0,1098.0,21000.0,50.0,49223.0,767.0,21000.0,50.0,49213.0,908.0,20000.0,,,,,,,,
0:6,59.0,49224.0,1011.0,23000.0,59.0,49221.0,991.0,22000.0,51.0,49221.0,1056.0,22000.0,52.0,49220.0,1090.0,21000.0,50.0,49214.0,766.0,21000.0,50.0,49219.0,912.0,20000.0,,,,,,,,
0:6,59.0,49211.0,1074.0,23000.0,59.0,49215.0,1049.0,22000.0,51.0,49235.0,1102.0,22000.0,52.0,49234.0,1149.0,21000.0,50.0,49216.0,817.0,21000.0,50.0,49217.0,959.0,20000.0,,,,,,,,
0:7,58.0,49229.0,1002.0,23000.0,59.0,49223.0,976.0,22000.0,51.0,49220.0,1042.0,22000.0,52.0,49218.0,1080.0,21000.0,50.0,49209.0,758.0,21000.0,50.0,49214.0,901.0,20000.0,,,,,,,,
0:8,58.0,49212.0,989.0,23000.0,59.0,49222.0,1001.0,22000.0,51.0,49241.0,1060.0,22000.0,51.0,49238.0,1075.0,21000.0,50.0,49224.0,753.0,21000.0,50.0,49220.0,891.0,20000.0,,,,,,,,
0:8,58.0,49222.0,1006.0,23000.0,59.0,49226.0,982.0,22000.0,51.0,49228.0,1054.0,22000.0,51.0,49221.0,1085.0,21000.0,50.0,49207.0,768.0,21000.0,50.0,49210.0,904.0,20000.0,,,,,,,,
0:9,58.0,49214.0,1002.0,23000.0,59.0,49230.0,985.0,22000.0,51.0,49237.0,1045.0,22000.0,51.0,49231.0,1084.0,21000.0,50.0,49218.0,760.0,20000.0,50.0,49205.0,901.0,20000.0,,,,,,,,
0:9,58.0,49230.0,1048.0,23000.0,59.0,49214.0,1015.0,22000.0,51.0,49227.0,1080.0,22000.0,51.0,49227.0,1114.0,21000.0,50.0,49217.0,796.0,21000.0,50.0,49216.0,934.0,20000.0,,,,,,,,
0:10,58.0,49233.0,992.0,23000.0,59.0,49228.0,974.0,22000.0,51.0,49229.0,1039.0,22000.0,51.0,49221.0,1070.0,21000.0,50.0,49212.0,756.0,21000.0,50.0,49219.0,893.0,20000.0,,,,,,,,
0:10,58.0,49217.0,1020.0,23000.0,59.0,49228.0,990.0,22000.0,51.0,49227.0,1058.0,22000.0,51.0,49233.0,1091.0,21000.0,50.0,49221.0,770.0,21000.0,50.0,49203.0,910.0,20000.0,,,,,,,,
0:11,58.0,49210.0,1044.0,23000.0,59.0,49224.0,1002.0,22000.0,51.0,49241.0,1070.0,22000.0,51.0,49237.0,1098.0,21000.0,50.0,49222.0,778.0,21000.0,50.0,49217.0,922.0,20000.0,,,,,,,,
0:11,58.0,49219.0,944.0,23000.0,59.0,49216.0,952.0,22000.0,51.0,49237.0,1021.0,22000.0,51.0,49235.0,1024.0,21000.0,50.0,49220.0,732.0,21000.0,50.0,49219.0,863.0,20000.0,,,,,,,,
0:12,58.0,49228.0,1060.0,23000.0,59.0,49213.0,1040.0,22000.0,51.0,49231.0,1092.0,22000.0,51.0,49226.0,1136.0,21000.0,50.0,49212.0,798.0,21000.0,50.0,49215.0,944.0,20000.0,,,,,,,,
0:12,58.0,49226.0,1017.0,23000.0,59.0,49235.0,987.0,22000.0,51.0,49224.0,1056.0,22000.0,51.0,49220.0,1094.0,21000.0,50.0,49211.0,769.0,21000.0,50.0,49222.0,912.0,20000.0,,,,,,,,
