Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,87.0,49779.0,1336.0,25000.0,84.0,49798.0,1490.0,25000.0,87.0,49789.0,1312.0,24000.0,85.0,49787.0,1474.0,23000.0,89.0,49779.0,1242.0,23000.0,88.0,49784.0,833.0,23000.0,,,,,,,,
0:1,86.0,49790.0,1332.0,25000.0,84.0,49784.0,1486.0,25000.0,86.0,49811.0,1270.0,24000.0,85.0,49798.0,1464.0,23000.0,89.0,49779.0,1235.0,23000.0,88.0,49770.0,835.0,22000.0,,,,,,,,
0:1,86.0,49802.0,1401.0,25000.0,84.0,49788.0,1539.0,25000.0,86.0,49799.0,1360.0,24000.0,85.0,49788.0,1528.0,23000.0,89.0,49766.0,1283.0,23000.0,88.0,49782.0,884.0,23000.0,,,,,,,,
0:2,86.0,49787.0,1190.0,25000.0,84.0,49806.0,1343.0,25000.0,86.0,49806.0,1170.0,24000.0,85.0,49801.0,1327.0,23000.0,89.0,49799.0,1112.0,23000.0,88.0,49791.0,712.0,23000.0,,,,,,,,
0:2,86.0,49792.0,1230.0,25000.0,84.0,49807.0,1388.0,25000.0,86.0,49796.0,1226.0,24000.0,85.0,49800.0,1366.0,23000.0,89.0,49791.0,1152.0,23000.0,88.0,49787.0,755.0,23000.0,,,,,,,,
0:3,86.0,49805.0,1262.0,25000.0,84.0,49801.0,1395.0,25000.0,86.0,49809.0,1234.0,24000.0,85.0,49815.0,1382.0,23000.0,89.0,49796.0,1168.0,23000.0,88.0,49786.0,761.0,23000.0,,,,,,,,
0:3,86.0,49801.0,1230.0,25000.0,84.0,49796.0,1363.0,25000.0,86.0,49813.0,1192.0,24000.0,85.0,49801.0,1348.0,23000.0,89.0,49784.0,1131.0,23000.0,88.0,49800.0,738.0,22000.0,,,,,,,,
0:4,86.0,49789.0,1356.0,25000.0,84.0,49807.0,1454.0,25000.0,86.0,49801.0,1276.0,24000.0,85.0,49809.0,1434.0,23000.0,89.0,49798.0,1212.0,23000.0,88.0,49786.0,823.0,22000.0,,,,,,,,
0:4,86.0,49790.0,1252.0,25000.0,84.0,49798.0,1295.0,25000.0,86.0,49823.0,1148.0,24000.0,85.0,49808.0,1368.0,23000.0,89.0,49800.0,1079.0,23000.0,88.0,49774.0,678.0,23000.0,,,,,,,,
0:5,86.0,49803.0,1213.0,25000.0,84.0,49795.0,1354.0,25000.0,86.0,49819.0,1182.0,24000.0,85.0,49815.0,1333.0,23000.0,89.0,49798.0,1148.0,23000.0,88.0,49780.0,744.0,22000.0,,,,,,,,
0:5,86.0,49780.0,1257.0,25000.0,84.0,49805.0,1391.0,25000.0,86.0,49808.0,1226.0,24000.0,84.0,49795.0,1389.0,23000.0,89.0,49788.0,1158.0,23000.0,88.0,49786.0,781.0,23000.0,,,,,,,,
0:6,86.0,49788.0,1261.0,25000.0,84.0,49812.0,1389.0,25000.0,86.0,49811.0,1234.0,24000.0,84.0,49800.0,1386.0,23000.0,89.0,49801.0,1168.0,23000.0,88.0,49780.0,781.0,23000.0,,,,,,,,
0:6,86.0,49799.0,1212.0,25000.0,84.0,49805.0,1350.0,25000.0,86.0,49817.0,1230.0,24000.0,84.0,49809.0,1368.0,23000.0,89.0,49800.0,1140.0,23000.0,88.0,49779.0,758.0,23000.0,,,,,,,,
0:7,86.0,49801.0,1252.0,25000.0,84.0,49799.0,1382.0,25000.0,86.0,49822.0,1224.0,24000.0,84.0,49818.0,1375.0,23000.0,89.0,49806.0,1164.0,23000.0,88.0,49785.0,776.0,23000.0,,,,,,,,
0:7,86.0,49793.0,1300.0,25000.0,84.0,49806.0,1421.0,25000.0,86.0,49806.0,1252.0,24000.0,84.0,49795.0,1410.0,23000.0,89.0,49790.0,1204.0,23000.0,88.0,49796.0,814.0,22000.0,,,,,,,,
0:8,86.0,49805.0,1274.0,25000.0,84.0,49795.0,1379.0,25000.0,86.0,49811.0,1225.0,24000.0,84.0,49814.0,1386.0,23000.0,89.0,49787.0,1164.0,23000.0,88.0,49796.0,774.0,22000.0,,,,,,,,
0:8,86.0,49816.0,1276.0,25000.0,84.0,49800.0,1396.0,25000.0,86.0,49822.0,1240.0,24000.0,84.0,49806.0,1396.0,23000.0,89.0,49796.0,1189.0,23000.0,88.0,49796.0,801.0,23000.0,,,,,,,,
0:9,86.0,49800.0,1279.0,25000.0,84.0,49795.0,1395.0,24000.0,86.0,49811.0,1238.0,24000.0,84.0,49804.0,1396.0,23000.0,89.0,49779.0,1182.0,23000.0,88.0,49797.0,795.0,22000.0,,,,,,,,
0:10,86.0,49806.0,1212.0,25000.0,84.0,49809.0,1336.0,25000.0,86.0,49815.0,1197.0,24000.0,84.0,49818.0,1326.0,23000.0,89.0,49805.0,1132.0,23000.0,88.0,49778.0,738.0,23000.0,,,,,,,,
0:10,86.0,49790.0,1146.0,25000.0,84.0,49805.0,1297.0,25000.0,86.0,49805.0,1152.0,24000.0,84.0,49802.0,1278.0,23000.0,89.0,49789.0,1078.0,23000.0,88.0,49793.0,705.0,22000.0,,,,,,,,
