Time,SoC_1,Voltage_1,Current_1,Temperature_1,B_Status_1,V_Status_1,C_Status_1,T_Status_1,SoC_2,Voltage_2,Current_2,Temperature_2,B_Status_2,V_Status_2,C_Status_2,T_Status_2,SoC_3,Voltage_3,Current_3,Temperature_3,B_Status_3,V_Status_3,C_Status_3,T_Status_3,SoC_4,Voltage_4,Current_4,Temperature_4,B_Status_4,V_Status_4,C_Status_4,T_Status_4,SoC_5,Voltage_5,Current_5,Temperature_5,B_Status_5,V_Status_5,C_Status_5,T_Status_5,SoC_6,Voltage_6,Current_6,Temperature_6,B_Status_6,V_Status_6,C_Status_6,T_Status_6,SoC_7,Voltage_7,Current_7,Temperature_7,B_Status_7,V_Status_7,C_Status_7,T_Status_7,SoC_8,Voltage_8,Current_8,Temperature_8,B_Status_8,V_Status_8,C_Status_8,T_Status_8
00:00:25,74.0,49.676,1.812,28.0,Dischg,Normal,Normal,Normal,75.0,49.658,0.938,28.0,Dischg,Normal,Normal,Normal,74.0,49.703,2.187,28.0,Dischg,Normal,Normal,Normal,75.0,49.74,2.132,27.0,Dischg,Normal,Normal,Normal,80.0,49.724,2.062,27.0,Dischg,Normal,Normal,Normal,83.0,49.722,1.529,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:00:57,74.0,49.651,1.528,28.0,Dischg,Normal,Normal,Normal,75.0,49.676,0.674,28.0,Dischg,Normal,Normal,Normal,74.0,49.729,2.038,28.0,Dischg,Normal,Normal,Normal,75.0,49.721,2.006,27.0,Dischg,Normal,Normal,Normal,80.0,49.718,1.952,27.0,Dischg,Normal,Normal,Normal,82.0,49.71,1.435,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:01:29,74.0,49.685,1.17,28.0,Dischg,Normal,Normal,Normal,75.0,49.669,0.415,28.0,Dischg,Normal,Normal,Normal,74.0,49.729,1.77,28.0,Dischg,Normal,Normal,Normal,75.0,49.743,1.79,27.0,Dischg,Normal,Normal,Normal,80.0,49.735,1.728,27.0,Dischg,Normal,Normal,Normal,82.0,49.735,1.186,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:02:00,74.0,49.691,1.202,28.0,Dischg,Normal,Normal,Normal,75.0,49.667,0.396,28.0,Dischg,Normal,Normal,Normal,74.0,49.733,1.746,28.0,Dischg,Normal,Normal,Normal,75.0,49.745,1.755,27.0,Dischg,Normal,Normal,Normal,80.0,49.738,1.729,27.0,Dischg,Normal,Normal,Normal,82.0,49.727,1.191,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:02:32,74.0,49.684,1.256,28.0,Dischg,Normal,Normal,Normal,75.0,49.673,0.438,28.0,Dischg,Normal,Normal,Normal,73.0,49.737,1.788,28.0,Dischg,Normal,Normal,Normal,75.0,49.738,1.777,27.0,Dischg,Normal,Normal,Normal,80.0,49.739,1.756,27.0,Dischg,Normal,Normal,Normal,82.0,49.729,1.188,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:03:04,74.0,49.677,1.232,28.0,Dischg,Normal,Normal,Normal,75.0,49.679,0.369,28.0,Dischg,Normal,Normal,Normal,73.0,49.723,1.728,28.0,Dischg,Normal,Normal,Normal,75.0,49.738,1.769,27.0,Dischg,Normal,Normal,Normal,80.0,49.727,1.709,27.0,Dischg,Normal,Normal,Normal,82.0,49.728,1.19,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:03:36,73.0,49.668,1.048,27.0,Dischg,Normal,Normal,Normal,75.0,49.68,0.272,28.0,Dischg,Normal,Normal,Normal,73.0,49.74,1.664,28.0,Dischg,Normal,Normal,Normal,75.0,49.737,1.66,27.0,Dischg,Normal,Normal,Normal,80.0,49.734,1.649,26.0,Dischg,Normal,Normal,Normal,82.0,49.73,1.145,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:04:07,73.0,49.686,1.289,28.0,Dischg,Normal,Normal,Normal,75.0,49.687,0.497,28.0,Dischg,Normal,Normal,Normal,73.0,49.72,1.8,28.0,Dischg,Normal,Normal,Normal,75.0,49.736,1.787,27.0,Dischg,Normal,Normal,Normal,80.0,49.727,1.768,27.0,Dischg,Normal,Normal,Normal,82.0,49.723,1.261,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:04:39,73.0,49.682,1.182,28.0,Dischg,Normal,Normal,Normal,75.0,49.672,0.418,28.0,Dischg,Normal,Normal,Normal,73.0,49.74,1.728,28.0,Dischg,Normal,Normal,Normal,75.0,49.741,1.732,27.0,Dischg,Normal,Normal,Normal,80.0,49.741,1.728,26.0,Dischg,Normal,Normal,Normal,82.0,49.73,1.223,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:05:11,73.0,49.683,1.33,28.0,Dischg,Normal,Normal,Normal,75.0,49.668,0.541,28.0,Dischg,Normal,Normal,Normal,73.0,49.737,1.851,28.0,Dischg,Normal,Normal,Normal,75.0,49.744,1.819,27.0,Dischg,Normal,Normal,Normal,80.0,49.734,1.806,27.0,Dischg,Normal,Normal,Normal,82.0,49.733,1.286,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:05:42,73.0,49.685,1.111,28.0,Dischg,Normal,Normal,Normal,75.0,49.668,0.358,28.0,Dischg,Normal,Normal,Normal,73.0,49.737,1.7,28.0,Dischg,Normal,Normal,Normal,75.0,49.739,1.713,27.0,Dischg,Normal,Normal,Normal,80.0,49.733,1.704,27.0,Dischg,Normal,Normal,Normal,82.0,49.737,1.196,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
00:06:14,73.0,49.677,0.956,28.0,Dischg,Normal,Normal,Normal,75.0,49.689,0.226,28.0,Dischg,Normal,Normal,Normal,73.0,49.724,1.751,28.0,Dischg,Normal,Normal,Normal,75.0,49.742,1.634,27.0,Dischg,Normal,Normal,Normal,80.0,49.731,1.636,27.0,Dischg,Normal,Normal,Normal,82.0,49.733,1.249,26.0,Dischg,Normal,Normal,Normal,,,,,,,,,,,,,,,,
