Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,68.0,49397.0,1632.0,24000.0,69.0,49396.0,1434.0,24000.0,65.0,49413.0,1590.0,24000.0,65.0,49398.0,1401.0,23000.0,63.0,49390.0,1042.0,22000.0,62.0,49361.0,1056.0,22000.0,,,,,,,,
0:0,68.0,49379.0,2245.0,24000.0,69.0,49379.0,1293.0,24000.0,65.0,49377.0,1474.0,24000.0,65.0,49389.0,1956.0,23000.0,63.0,49373.0,836.0,22000.0,62.0,49359.0,1566.0,22000.0,,,,,,,,
0:1,68.0,49357.0,2087.0,24000.0,69.0,49371.0,1848.0,24000.0,65.0,49376.0,1972.0,24000.0,65.0,49355.0,1828.0,23000.0,63.0,49353.0,1414.0,22000.0,62.0,49370.0,1424.0,22000.0,,,,,,,,
0:2,68.0,49355.0,2055.0,24000.0,69.0,49374.0,1844.0,24000.0,65.0,49378.0,1962.0,24000.0,65.0,49372.0,1826.0,23000.0,63.0,49362.0,1407.0,22000.0,62.0,49360.0,1413.0,22000.0,,,,,,,,
0:2,68.0,49350.0,2040.0,24000.0,69.0,49365.0,1826.0,24000.0,65.0,49367.0,1942.0,24000.0,65.0,49374.0,1814.0,23000.0,63.0,49363.0,1389.0,22000.0,62.0,49342.0,1397.0,22000.0,,,,,,,,
0:3,68.0,49360.0,1976.0,24000.0,69.0,49355.0,1790.0,24000.0,65.0,49373.0,1900.0,24000.0,65.0,49362.0,1781.0,23000.0,63.0,49335.0,1359.0,22000.0,62.0,49342.0,1355.0,22000.0,,,,,,,,
0:3,68.0,49344.0,1984.0,24000.0,69.0,49362.0,1790.0,24000.0,65.0,49365.0,1910.0,24000.0,65.0,49351.0,1776.0,23000.0,63.0,49350.0,1355.0,22000.0,62.0,49338.0,1368.0,22000.0,,,,,,,,
0:4,68.0,49355.0,1932.0,24000.0,69.0,49333.0,1740.0,24000.0,65.0,49375.0,1864.0,24000.0,65.0,49356.0,1737.0,23000.0,63.0,49335.0,1314.0,22000.0,62.0,49328.0,1326.0,22000.0,,,,,,,,
0:4,68.0,49328.0,2210.0,24000.0,69.0,49340.0,2016.0,24000.0,65.0,49333.0,2082.0,24000.0,65.0,49348.0,2008.0,23000.0,63.0,49335.0,1540.0,22000.0,62.0,49313.0,1569.0,22000.0,,,,,,,,
0:5,68.0,49319.0,2120.0,24000.0,69.0,49341.0,1932.0,24000.0,65.0,49338.0,2036.0,24000.0,65.0,49328.0,1924.0,23000.0,63.0,49332.0,1468.0,22000.0,62.0,49330.0,1508.0,22000.0,,,,,,,,
0:5,68.0,49311.0,2143.0,24000.0,69.0,49339.0,1964.0,24000.0,65.0,49331.0,2060.0,24000.0,65.0,49336.0,1955.0,23000.0,63.0,49321.0,1492.0,22000.0,62.0,49323.0,1526.0,22000.0,,,,,,,,
0:6,68.0,49311.0,2113.0,24000.0,69.0,49324.0,1938.0,24000.0,65.0,49334.0,2033.0,24000.0,65.0,49320.0,1928.0,23000.0,63.0,49324.0,1471.0,22000.0,62.0,49319.0,1510.0,22000.0,,,,,,,,
0:6,68.0,49329.0,2148.0,24000.0,69.0,49323.0,1974.0,24000.0,65.0,49342.0,2058.0,24000.0,65.0,49336.0,1961.0,23000.0,63.0,49297.0,1504.0,22000.0,62.0,49301.0,1538.0,22000.0,,,,,,,,
0:7,68.0,49304.0,2106.0,24000.0,69.0,49324.0,1946.0,24000.0,65.0,49325.0,2033.0,24000.0,65.0,49322.0,1932.0,23000.0,63.0,49310.0,1474.0,22000.0,62.0,49298.0,1516.0,22000.0,,,,,,,,
0:7,68.0,49321.0,2134.0,24000.0,69.0,49302.0,1980.0,24000.0,65.0,49327.0,2055.0,24000.0,65.0,49325.0,1966.0,23000.0,63.0,49300.0,1500.0,22000.0,62.0,49283.0,1548.0,22000.0,,,,,,,,
0:8,68.0,49323.0,2144.0,24000.0,69.0,49301.0,1977.0,24000.0,65.0,49334.0,2056.0,24000.0,65.0,49319.0,1967.0,23000.0,63.0,49286.0,1510.0,22000.0,62.0,49289.0,1547.0,22000.0,,,,,,,,
0:8,68.0,49295.0,2103.0,24000.0,69.0,49314.0,1949.0,24000.0,65.0,49316.0,2018.0,24000.0,65.0,49322.0,1941.0,23000.0,63.0,49307.0,1472.0,22000.0,62.0,49285.0,1528.0,22000.0,,,,,,,,
0:9,68.0,49307.0,2078.0,24000.0,69.0,49300.0,1939.0,24000.0,65.0,49325.0,1998.0,24000.0,65.0,49304.0,1917.0,23000.0,63.0,49299.0,1464.0,22000.0,62.0,49304.0,1516.0,22000.0,,,,,,,,
0:9,68.0,49289.0,2128.0,24000.0,69.0,49308.0,1970.0,24000.0,65.0,49308.0,2041.0,24000.0,65.0,49292.0,1970.0,23000.0,63.0,49304.0,1510.0,22000.0,62.0,49296.0,1562.0,22000.0,,,,,,,,
0:10,68.0,49284.0,2050.0,24000.0,69.0,49311.0,1901.0,24000.0,64.0,49310.0,1979.0,24000.0,65.0,49297.0,1896.0,23000.0,63.0,49301.0,1446.0,22000.0,62.0,49294.0,1499.0,22000.0,,,,,,,,
0:11,68.0,49265.0,2449.0,24000.0,69.0,49298.0,2280.0,24000.0,64.0,49298.0,2315.0,24000.0,65.0,49277.0,2271.0,23000.0,63.0,49289.0,1762.0,22000.0,62.0,49285.0,1831.0,22000.0,,,,,,,,
0:11,68.0,49294.0,2442.0,24000.0,69.0,49270.0,2213.0,24000.0,64.0,49299.0,2260.0,24000.0,65.0,49283.0,2265.0,23000.0,63.0,49261.0,1749.0,22000.0,62.0,49266.0,1816.0,22000.0,,,,,,,,
0:12,68.0,49269.0,2354.0,24000.0,69.0,49288.0,2204.0,24000.0,64.0,49289.0,2237.0,24000.0,65.0,49286.0,2193.0,23000.0,63.0,49277.0,1694.0,22000.0,62.0,49274.0,1764.0,22000.0,,,,,,,,
0:12,68.0,49288.0,2354.0,24000.0,69.0,49256.0,2201.0,24000.0,64.0,49297.0,2248.0,24000.0,64.0,49279.0,2200.0,23000.0,63.0,49254.0,1679.0,22000.0,62.0,49262.0,1768.0,22000.0,,,,,,,,
0:13,68.0,49271.0,2381.0,24000.0,69.0,49275.0,2237.0,24000.0,64.0,49276.0,2270.0,24000.0,64.0,49285.0,2234.0,23000.0,63.0,49242.0,1715.0,22000.0,61.0,49250.0,1795.0,22000.0,,,,,,,,
0:13,67.0,49247.0,2312.0,24000.0,69.0,49270.0,2178.0,24000.0,64.0,49272.0,2220.0,24000.0,64.0,49269.0,2170.0,23000.0,63.0,49254.0,1656.0,22000.0,61.0,49253.0,1754.0,22000.0,,,,,,,,
0:14,67.0,49256.0,2346.0,24000.0,69.0,49280.0,2207.0,24000.0,64.0,49280.0,2234.0,24000.0,64.0,49273.0,2203.0,23000.0,63.0,49264.0,1689.0,22000.0,61.0,49264.0,1777.0,22000.0,,,,,,,,
0:14,67.0,49268.0,2320.0,24000.0,68.0,49260.0,2185.0,24000.0,64.0,49284.0,2218.0,24000.0,64.0,49253.0,2181.0,23000.0,63.0,49260.0,1671.0,22000.0,61.0,49263.0,1758.0,22000.0,,,,,,,,
0:15,67.0,49255.0,2350.0,24000.0,68.0,49265.0,2215.0,24000.0,64.0,49279.0,2244.0,24000.0,64.0,49254.0,2208.0,23000.0,63.0,49256.0,1695.0,22000.0,61.0,49261.0,1792.0,22000.0,,,,,,,,
0:15,67.0,49249.0,2250.0,24000.0,68.0,49269.0,2123.0,24000.0,64.0,49279.0,2160.0,24000.0,64.0,49253.0,2118.0,23000.0,63.0,49255.0,1630.0,22000.0,61.0,49256.0,1731.0,22000.0,,,,,,,,
0:16,67.0,49257.0,2298.0,24000.0,68.0,49260.0,2171.0,24000.0,64.0,49268.0,2194.0,24000.0,64.0,49269.0,2152.0,23000.0,63.0,49241.0,1665.0,22000.0,61.0,49233.0,1762.0,22000.0,,,,,,,,
0:16,67.0,49263.0,1728.0,24000.0,68.0,49257.0,1699.0,24000.0,64.0,49271.0,1774.0,24000.0,64.0,49277.0,1692.0,23000.0,63.0,49241.0,1222.0,22000.0,61.0,49250.0,1370.0,22000.0,,,,,,,,
0:17,67.0,49274.0,1938.0,24000.0,68.0,49264.0,1848.0,24000.0,64.0,49284.0,1898.0,24000.0,64.0,49262.0,1831.0,23000.0,63.0,49263.0,1390.0,22000.0,61.0,49249.0,1488.0,22000.0,,,,,,,,
0:17,67.0,49260.0,1909.0,24000.0,68.0,49274.0,1815.0,24000.0,64.0,49285.0,1872.0,24000.0,64.0,49266.0,1803.0,23000.0,63.0,49263.0,1376.0,22000.0,61.0,49267.0,1476.0,22000.0,,,,,,,,
0:18,67.0,49264.0,1854.0,24000.0,68.0,49282.0,1805.0,24000.0,64.0,49286.0,1862.0,24000.0,64.0,49265.0,1744.0,23000.0,63.0,49254.0,1334.0,22000.0,61.0,49261.0,1437.0,22000.0,,,,,,,,
0:18,67.0,49271.0,1947.0,24000.0,68.0,49275.0,1847.0,24000.0,64.0,49293.0,1884.0,24000.0,64.0,49258.0,1822.0,23000.0,63.0,49266.0,1414.0,22000.0,61.0,49268.0,1510.0,22000.0,,,,,,,,
0:19,67.0,49254.0,1709.0,24000.0,68.0,49280.0,1635.0,24000.0,64.0,49277.0,1690.0,24000.0,64.0,49275.0,1617.0,23000.0,63.0,49259.0,1228.0,22000.0,61.0,49264.0,1331.0,22000.0,,,,,,,,
0:19,67.0,49282.0,1650.0,24000.0,68.0,49268.0,1558.0,24000.0,64.0,49278.0,1636.0,24000.0,64.0,49290.0,1543.0,23000.0,62.0,49275.0,1182.0,22000.0,61.0,49262.0,1270.0,22000.0,,,,,,,,
0:20,67.0,49285.0,1539.0,24000.0,68.0,49290.0,1458.0,24000.0,64.0,49300.0,1542.0,24000.0,64.0,49270.0,1449.0,23000.0,62.0,49272.0,1094.0,22000.0,61.0,49272.0,1196.0,22000.0,,,,,,,,
0:21,67.0,49285.0,1556.0,24000.0,68.0,49272.0,1484.0,24000.0,64.0,49285.0,1538.0,24000.0,64.0,49287.0,1462.0,23000.0,62.0,49278.0,1132.0,22000.0,61.0,49265.0,1223.0,22000.0,,,,,,,,
