Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:0,61.0,49924.0,110.0,22000.0,63.0,49914.0,50.0,21000.0,58.0,49928.0,115.0,21000.0,58.0,49922.0,81.0,20000.0,55.0,49918.0,0.0,19000.0,55.0,49909.0,0.0,18000.0,,,,,,,,
0:0,61.0,49917.0,108.0,22000.0,63.0,49918.0,50.0,21000.0,58.0,49931.0,118.0,21000.0,58.0,49928.0,81.0,20000.0,55.0,49914.0,0.0,19000.0,55.0,49912.0,0.0,18000.0,,,,,,,,
0:1,61.0,49919.0,108.0,22000.0,63.0,49923.0,50.0,21000.0,58.0,49917.0,118.0,21000.0,58.0,49925.0,108.0,20000.0,55.0,49915.0,0.0,19000.0,55.0,49913.0,0.0,18000.0,,,,,,,,
0:1,61.0,49921.0,108.0,22000.0,63.0,49913.0,50.0,21000.0,58.0,49929.0,112.0,21000.0,58.0,49922.0,81.0,20000.0,55.0,49913.0,0.0,19000.0,55.0,49904.0,0.0,18000.0,,,,,,,,
0:2,61.0,49918.0,108.0,22000.0,63.0,49916.0,0.0,21000.0,58.0,49921.0,112.0,21000.0,58.0,49928.0,81.0,20000.0,55.0,49912.0,0.0,19000.0,55.0,49905.0,0.0,18000.0,,,,,,,,
0:2,61.0,49917.0,110.0,22000.0,63.0,49921.0,0.0,21000.0,58.0,49924.0,118.0,21000.0,58.0,49921.0,108.0,20000.0,55.0,49916.0,0.0,19000.0,55.0,49902.0,0.0,18000.0,,,,,,,,
0:3,60.0,49920.0,108.0,22000.0,63.0,49912.0,25.0,21000.0,58.0,49926.0,115.0,21000.0,58.0,49922.0,81.0,20000.0,55.0,49905.0,0.0,19000.0,55.0,49911.0,0.0,18000.0,,,,,,,,
0:4,60.0,49920.0,112.0,22000.0,63.0,49920.0,25.0,21000.0,58.0,49922.0,118.0,21000.0,58.0,49924.0,108.0,20000.0,55.0,49906.0,0.0,19000.0,55.0,49904.0,0.0,18000.0,,,,,,,,
0:4,60.0,49919.0,112.0,22000.0,63.0,49921.0,25.0,21000.0,58.0,49929.0,116.0,21000.0,58.0,49917.0,108.0,20000.0,55.0,49912.0,0.0,19000.0,55.0,49904.0,0.0,18000.0,,,,,,,,
0:5,60.0,49915.0,112.0,22000.0,63.0,49915.0,0.0,21000.0,58.0,49924.0,112.0,21000.0,58.0,49920.0,108.0,20000.0,55.0,49909.0,0.0,19000.0,55.0,49904.0,0.0,18000.0,,,,,,,,
0:5,60.0,49915.0,108.0,22000.0,63.0,49916.0,25.0,21000.0,58.0,49929.0,112.0,21000.0,58.0,49925.0,108.0,20000.0,55.0,49910.0,0.0,19000.0,55.0,49906.0,0.0,18000.0,,,,,,,,
0:6,60.0,49922.0,108.0,22000.0,63.0,49914.0,50.0,21000.0,58.0,49926.0,118.0,21000.0,58.0,49926.0,81.0,20000.0,55.0,49910.0,0.0,19000.0,55.0,49912.0,0.0,18000.0,,,,,,,,
0:6,60.0,49920.0,108.0,22000.0,63.0,49915.0,50.0,21000.0,58.0,49926.0,118.0,21000.0,58.0,49918.0,81.0,20000.0,55.0,49907.0,0.0,19000.0,55.0,49911.0,0.0,18000.0,,,,,,,,
0:7,60.0,49912.0,110.0,22000.0,63.0,49913.0,0.0,21000.0,58.0,49921.0,115.0,21000.0,58.0,49917.0,108.0,20000.0,55.0,49912.0,0.0,19000.0,55.0,49907.0,0.0,18000.0,,,,,,,,
0:7,60.0,49919.0,108.0,22000.0,63.0,49917.0,25.0,21000.0,58.0,49917.0,110.0,21000.0,58.0,49925.0,108.0,20000.0,55.0,49912.0,0.0,19000.0,55.0,49903.0,0.0,18000.0,,,,,,,,
0:8,60.0,49923.0,108.0,22000.0,63.0,49917.0,25.0,21000.0,58.0,49921.0,112.0,21000.0,58.0,49926.0,54.0,20000.0,55.0,49909.0,0.0,19000.0,55.0,49906.0,0.0,18000.0,,,,,,,,
0:8,60.0,49919.0,108.0,22000.0,63.0,49915.0,0.0,21000.0,58.0,49927.0,112.0,21000.0,58.0,49922.0,54.0,20000.0,55.0,49909.0,0.0,19000.0,55.0,49905.0,0.0,18000.0,,,,,,,,
