Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:11,56.0,49134.0,1556.0,21000.0,58.0,49128.0,1369.0,20000.0,56.0,49142.0,1384.0,20000.0,56.0,49134.0,1413.0,19000.0,56.0,49122.0,937.0,18000.0,57.0,49110.0,880.0,18000.0,,,,,,,,
0:11,56.0,49121.0,1550.0,21000.0,58.0,49139.0,1393.0,20000.0,56.0,49145.0,1476.0,20000.0,56.0,49119.0,1457.0,19000.0,56.0,49106.0,950.0,18000.0,57.0,49110.0,907.0,18000.0,,,,,,,,
0:12,56.0,49136.0,1379.0,21000.0,58.0,49116.0,1237.0,20000.0,56.0,49142.0,1295.0,20000.0,56.0,49139.0,1287.0,19000.0,56.0,49121.0,838.0,18000.0,57.0,49106.0,786.0,18000.0,,,,,,,,
0:12,56.0,49119.0,1465.0,21000.0,58.0,49139.0,1320.0,20000.0,55.0,49154.0,1361.0,20000.0,56.0,49123.0,1370.0,19000.0,56.0,49104.0,896.0,18000.0,57.0,49106.0,851.0,18000.0,,,,,,,,
0:13,56.0,49140.0,1418.0,21000.0,58.0,49131.0,1286.0,20000.0,55.0,49157.0,1402.0,20000.0,56.0,49130.0,1347.0,19000.0,56.0,49117.0,868.0,18000.0,57.0,49097.0,820.0,18000.0,,,,,,,,
0:13,56.0,49145.0,1410.0,21000.0,58.0,49123.0,1277.0,20000.0,55.0,49156.0,1377.0,20000.0,56.0,49147.0,1338.0,19000.0,56.0,49126.0,864.0,18000.0,57.0,49106.0,816.0,18000.0,,,,,,,,
0:14,56.0,49127.0,1406.0,21000.0,58.0,49122.0,1272.0,20000.0,55.0,49133.0,1402.0,20000.0,56.0,49134.0,1332.0,19000.0,56.0,49133.0,856.0,18000.0,57.0,49111.0,808.0,18000.0,,,,,,,,
0:14,56.0,49110.0,1917.0,21000.0,58.0,49124.0,1793.0,20000.0,55.0,49130.0,1892.0,20000.0,56.0,49111.0,1867.0,19000.0,56.0,49108.0,1254.0,18000.0,56.0,49117.0,1192.0,18000.0,,,,,,,,
0:15,56.0,49111.0,1908.0,21000.0,58.0,49123.0,1719.0,20000.0,55.0,49129.0,1810.0,20000.0,56.0,49118.0,1785.0,19000.0,56.0,49089.0,1208.0,18000.0,56.0,49094.0,1160.0,18000.0,,,,,,,,
0:15,56.0,49098.0,1996.0,21000.0,58.0,49100.0,1802.0,20000.0,55.0,49113.0,1861.0,20000.0,56.0,49112.0,1870.0,19000.0,56.0,49102.0,1272.0,18000.0,56.0,49095.0,1214.0,18000.0,,,,,,,,
0:16,56.0,49112.0,1986.0,21000.0,58.0,49101.0,1785.0,20000.0,55.0,49122.0,1808.0,20000.0,56.0,49100.0,1849.0,19000.0,56.0,49087.0,1255.0,18000.0,56.0,49079.0,1213.0,18000.0,,,,,,,,
0:16,56.0,49112.0,1964.0,21000.0,58.0,49097.0,1772.0,20000.0,55.0,49122.0,1826.0,20000.0,56.0,49107.0,1849.0,19000.0,56.0,49082.0,1253.0,18000.0,56.0,49081.0,1198.0,18000.0,,,,,,,,
0:17,56.0,49106.0,1972.0,21000.0,58.0,49099.0,1774.0,20000.0,55.0,49122.0,1826.0,20000.0,56.0,49096.0,1849.0,19000.0,56.0,49071.0,1250.0,18000.0,56.0,49078.0,1192.0,18000.0,,,,,,,,
0:17,56.0,49085.0,1934.0,21000.0,58.0,49096.0,1737.0,20000.0,55.0,49112.0,1800.0,20000.0,56.0,49087.0,1813.0,19000.0,56.0,49089.0,1222.0,18000.0,56.0,49092.0,1164.0,18000.0,,,,,,,,
0:18,56.0,49099.0,1947.0,21000.0,58.0,49102.0,1747.0,20000.0,55.0,49114.0,1800.0,20000.0,56.0,49109.0,1825.0,19000.0,56.0,49071.0,1233.0,18000.0,56.0,49068.0,1173.0,18000.0,,,,,,,,
